file,total_inference,matched,unmatched_inference,missing_manual,accuracy,precision,recall,f1,roc_auc,average_precision
early_fusion_inference,103,103,0,0,0.8349514563106796,0.7368421052631579,0.9545454545454546,0.8316831683168316,0.9664869029275809,0.9418895845736421
max_voting_inference,103,103,0,0,0.8737864077669902,0.8163265306122449,0.9090909090909091,0.8602150537634409,0.9533898305084746,0.9176731846019973
soft_voting_inference,103,103,0,0,0.883495145631068,0.7962962962962963,0.9772727272727273,0.8775510204081632,0.9595531587057011,0.8953372976523118
stacking_inference,103,103,0,0,0.912621359223301,0.8888888888888888,0.9090909090909091,0.898876404494382,0.960708782742681,0.8968466697707128
