file,total_inference,matched,unmatched_inference,missing_manual,accuracy,precision,recall,f1,roc_auc,average_precision
early_fusion_inference,151,151,0,0,0.6887417218543046,0.5849056603773585,0.9538461538461539,0.7251461988304093,0.7740608228980321,0.6574991798047981
max_voting_inference,151,151,0,0,0.6821192052980133,0.5841584158415841,0.9076923076923077,0.7108433734939759,0.7788908765652951,0.6266432615223965
soft_voting_inference,151,151,0,0,0.695364238410596,0.5871559633027523,0.9846153846153847,0.735632183908046,0.798747763864043,0.6764395353713956
stacking_inference,151,151,0,0,0.7086092715231788,0.6060606060606061,0.9230769230769231,0.7317073170731707,0.7930232558139535,0.6686222030777433
