file,total_inference,matched,unmatched_inference,missing_manual,accuracy,precision,recall,f1,roc_auc,average_precision
early_fusion_inference,110,110,0,0,0.7818181818181819,0.65625,0.9545454545454546,0.7777777777777778,0.9321625344352618,0.8894687188115054
max_voting_inference,110,110,0,0,0.8181818181818182,0.7142857142857143,0.9090909090909091,0.8,0.9263085399449036,0.8778225997346688
soft_voting_inference,110,110,0,0,0.8272727272727273,0.7049180327868853,0.9772727272727273,0.819047619047619,0.9263085399449036,0.8415146064591037
stacking_inference,110,110,0,0,0.8545454545454545,0.7692307692307693,0.9090909090909091,0.8333333333333334,0.9280303030303031,0.8438416825286689
